,Tweet,cleanedtext,label
27,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
28,RT @NintendoDE: Jetzt steigt die ultimative Party! „Super #MarioParty“ erscheint am 5.10. für #NintendoSwitch! 🎉 #NintendoE3 https://t.co/e…,die party super ,0
29,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
30,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
31,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
32,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
33,RT @AngelCam7: All right! #MarioParty! On the Switch! The way it was meant to be played! Dick moves and all! 😆 #SuperMarioParty #E3 #Ninten…,all right on switch way wa meant played dick move ,0
34,"Super Mario Party coming to Nintendo Switch 

#NintendoDirect #NintendoSwitch #E3 #SuperMarioParty https://t.co/h6bdhzYVuF",super party coming switch ,0
35,"Thank god they ditched that ""Let's all ride in a stupid car together"" bullcrap from the last two. #MarioParty #E32018 #NintendoDirect",thank god ditched let ride stupid car together last two ,1
36,"Dead. Nintendo have won E3. 

Let's all go home, thanks everyone! 

#NintendoE3 #E3 #SuperMarioParty",dead let go home thank ,0
37,RT @Protomario: #SuperMarioParty looks amazing at #NintendoE3 https://t.co/8KLcFF2Gmx,look amazing ,0
38,"#SuperMarioParty announced! Coming 5 October to Nintendo Switch. Stay tuned for local info because it LOOKS SO FUN.

#NintendoE3 #EBE3 #E3",announced coming october switch stay tuned local info look so fun ,0
39,#SuperMarioParty coming later this year for #NintendoSwitch is looking to be the best on the party game series yet!… https://t.co/qde2RLQulc,coming later year looking best party game series ,0
40,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
41,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
42,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
43,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
44,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
45,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
46,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
47,Let's a Go a! #Marioparty has been announced at this year #NintendoE3 We have all your Mario costume needs covered!… https://t.co/n5adH1vA9r,let go ha announced year costume need ,0
48,RT @GameStop: Friends become enemies once more in #SuperMarioParty coming this October for the Nintendo Switch! #NintendoE3 #E32018 #GameSt…,friend become enemy coming october switch ,0
49,The good news is that we'll be getting more Mario Party Let's Play's by @AchievementHunt n_n #SuperMarioParty… https://t.co/3RRbsxquRp,good news getting party let play ,0
50,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
51,"RT @hop1170: Mario Party looks to be back to its best, I'm so down #SuperMarioParty #E32018 #NintendoE3",party look back best ,0
52,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
53,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
54,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
55,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
56,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
57,new #marioparty look dope af #NintendoDirect,new look dope ,0
58,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
59,"5 october release date for #SuperMarioParty!!! 
#E32018 #NintendoDirect",october release date ,0
60,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
61,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
62,RT @ThisIsMyCourt: Oh wow. They did come thru with a Mario Party! Pre-games about to be lit again. #SuperMarioParty #NintendoDirect #E3,oh wow come party lit ,0
63,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
64,RT @GameStop: Friends become enemies once more in #SuperMarioParty coming this October for the Nintendo Switch! #NintendoE3 #E32018 #GameSt…,friend become enemy coming october switch ,0
65,THIS MARIO PARTY ANNOUNCEMENT #E32018 #E3 #E3Nintendo #Nintendo #NintendoDirect #MarioParty #Mario https://t.co/LD8mIGrfOr,party announcement direct ,0
66,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
67,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
68,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
69,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
70,RT @Protomario: #SuperMarioParty looks amazing at #NintendoE3 https://t.co/8KLcFF2Gmx,look amazing ,0
71,RT @NintendoDE: Jetzt steigt die ultimative Party! „Super #MarioParty“ erscheint am 5.10. für #NintendoSwitch! 🎉 #NintendoE3 https://t.co/e…,die party super ,0
72,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
73,RT @NintendoDE: Jetzt steigt die ultimative Party! „Super #MarioParty“ erscheint am 5.10. für #NintendoSwitch! 🎉 #NintendoE3 https://t.co/e…,die party super ,0
74,RT @jmdornbush: This Switch-to-Switch gameplay in #SuperMarioParty is absolute witchcraft and I won't listen to any other explanation. #Nin…,absolute witchcraft listen explanation ,0
75,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
76,RT @NintendoDE: Jetzt steigt die ultimative Party! „Super #MarioParty“ erscheint am 5.10. für #NintendoSwitch! 🎉 #NintendoE3 https://t.co/e…,die party super ,0
77,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
78,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
79,Was not expecting a #SuperMarioParty announcement but I am excited @Isela_19_ #NintendoE3,wa expecting announcement excited ,0
80,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
81,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
82,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
83,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
84,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
85,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
86,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
87,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
88,"#NintendoE3 you guys killed it for me, #FireEmblemThreeHouses #SuperSmashBrosUltimate #SuperMarioParty",guy killed ,0
89,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
90,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
91,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
92,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
93,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
94,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
95,RT @Protomario: #SuperMarioParty looks amazing at #NintendoE3 https://t.co/8KLcFF2Gmx,look amazing ,0
96,RT @NintendoDE: Jetzt steigt die ultimative Party! „Super #MarioParty“ erscheint am 5.10. für #NintendoSwitch! 🎉 #NintendoE3 https://t.co/e…,die party super ,0
97,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
98,"Retweeted Nintendo of Europe (@NintendoEurope):

Who likes to rock the party? Super #MarioParty is coming to… https://t.co/CFJxsyi3tH",europe who like rock party super coming ,0
99,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
100,"If now is not the time to party, we don't know when is! #SuperMarioParty looks like it'd fit perfectly into (almost… https://t.co/aLhQkuAeKu",time party know look like fit perfectly ,0
101,just let me know if i can steal stars #marioparty #nintendoe3,let know steal star ,1
102,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
103,"What if you have no friends? 😂 #SuperMarioParty

#NintendoE3 #NintendoDirect 
#E3 #E32018",friend ,0
104,RT @Protomario: #SuperMarioParty looks amazing at #NintendoE3 https://t.co/8KLcFF2Gmx,look amazing ,0
105,RT @OGXUK: We're also getting Fortnite on switch. Thank you @EpicGames. #OGXPartyChat bout to get even more messy now lol. #E3 #NintendoE3…,also getting switch thank bout get even messy ,0
106,Cool but add online #E32018 #NintendoE3 #MarioParty https://t.co/vBNySp4Xdx,cool add online ,0
107,"Mario Party looks inovative and a game changer.
Put two Systems togethor for higher interactivity.
#NintendoDirect #SuperMarioParty",party look game two system higher ,0
108,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
109,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
110,"Super Mario Party announced for Nintendo Switch 

#NintendoDirect #NintendoSwitch #E3 #SuperMarioParty",super party announced switch ,0
111,"RT @Gamer_Snack: قدوم لعبه Super mario party 
للـ switch في ٥ اكتوبر ٢٠١٨
.
#E32018
#GS_E3
#SuperMarioParty 
#NintendoE3 https://t.co/z3Vm6…",super party switch ,0
112,RT @TheGirlsOnGames: Curious to know if 2 Switches need 2 copies of the game for #SuperMarioParty? #NintendoE3,know switch need copy game ,0
113,RT @GameStop: Friends become enemies once more in #SuperMarioParty coming this October for the Nintendo Switch! #NintendoE3 #E32018 #GameSt…,friend become enemy coming october switch ,0
114,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
115,RT @NintendoRU: Игра для вечеринок Super #MarioParty выйдет на #NintendoSwitch 5 октября! 🎉 #NintendoE3 https://t.co/JjdWf65zhK,super ,0
116,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
117,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
118,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
119,That multi-screen thing is new. #SuperMarioParty #NintendoE3,thing new ,0
120,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
121,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
122,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
123,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
124,#NintendoDirect is on now #SuperMarioParty #FireEmblemThreeHouses already announced plus New comes with eve4y #PokeBallPlus more to come,already announced new come come ,0
125,"RT @NinSwitchNews: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5!

#NintendoE3 #E32018 https://t.co/RAyojmu…",get party started super come ,0
126,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
127,"RT @TheSwitchEffect: Get the party started when Super #MarioParty comes to #NintendoSwitch on 10/5! https://t.co/kYZVP2eVgF

#E32018 #Ninte…",get party started super come ,0
128,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
129,RT @NuisanceGamer: #SuperMarioParty Looks Amazing. #NintendoE3 #nintendo #e3 https://t.co/v7b5TSDIua,look amazing ,0
130,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
131,RT @NintendoUK: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on October 5th! 🎉 #NintendoE3 https://t.co/alZO…,who like rock party super coming october 5th ,0
132,RT @NintendoEurope: Who likes to rock the party? Super #MarioParty is coming to #NintendoSwitch on 05/10! 🎉#NintendoE3 https://t.co/Dd1xjk7…,who like rock party super coming ,0
